Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Baumgartner, K., Ferrari, S.","24175755600;7201818454;","A geometric transversal approach to analyzing track coverage in sensor networks",2008,"IEEE Transactions on Computers","57","8",,"1113","1128",,31,"10.1109/TC.2008.56","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47049129912&doi=10.1109%2fTC.2008.56&partnerID=40&md5=a4c9f53ce62b990223e04a70e4c236f0",Article,"Final",,Scopus,2-s2.0-47049129912
"Goldberg, A.V., Karzanov, A.V.","55167669300;7003715220;","Maximum skew-symmetric flows and matchings",2004,"Mathematical Programming","100","3",,"537","568",,31,"10.1007/s10107-004-0505-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-20744432113&doi=10.1007%2fs10107-004-0505-z&partnerID=40&md5=fbf99452c99e9f68bd3e64488c392763",Article,"Final",,Scopus,2-s2.0-20744432113
"Bradford, C.M., Stacey, G.J., Swain, M.R., Nikola, T., Bolatto, A.D., Jackson, J.M., Savage, M.L., Davidson, J.A., Ade, P.A.R.","7005486049;7102445562;7201799893;8513265700;6701759582;25932282900;7202386838;7403933623;7006368713;","SPIFI: A direct-detection imaging spectrometer for submillimeter wavelengths",2002,"Applied Optics","41","13",,"2561","2574",,31,"10.1364/AO.41.002561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036575652&doi=10.1364%2fAO.41.002561&partnerID=40&md5=8ca93cb18645df566be35e660899ded3",Article,"Final",,Scopus,2-s2.0-0036575652
"Tatsumi, Y., Mattausch, H.J.","55118888800;55946739900;","Fast quadratic increase of multiport-storage-cell area with port number",1999,"Electronics Letters","35","25",,"2185","2187",,31,"10.1049/el:19991511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033327917&doi=10.1049%2fel%3a19991511&partnerID=40&md5=5e875e022125cd48c59aa5cc3d9fbba0",Article,"Final",,Scopus,2-s2.0-0033327917
"Aronson, J., Dyer, M., Frieze, A., Suen, S.","36937227900;7201700600;55126668300;7003487789;","Randomized greedy matching. II",1995,"Random Structures &amp; Algorithms","6","1",,"55","73",,31,"10.1002/rsa.3240060107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990713763&doi=10.1002%2frsa.3240060107&partnerID=40&md5=c5b02a1b49445b2bb05515bdc4391cb6",Article,"Final",,Scopus,2-s2.0-84990713763
"Langley, Pat, Ohlsson, Stellan","7102314644;7005205579;","AUTOMATED COGNITIVE MODELING.",1983,,,,,"193","197",,31,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021002758&partnerID=40&md5=6800951d1dce4a3e57b890d1d26afbda",Conference Paper,"Final",,Scopus,2-s2.0-0021002758
"Amaru, L., Gaillardon, P.-E., De Micheli, G.","46061137400;35117655600;55665361700;","Majority-Inverter Graph: A New Paradigm for Logic Optimization",2016,"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","35","5", 7293649,"806","819",,30,"10.1109/TCAD.2015.2488484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968547865&doi=10.1109%2fTCAD.2015.2488484&partnerID=40&md5=6a390f53058acb0710e8777234a252e9",Article,"Final",Open Access,Scopus,2-s2.0-84968547865
"Chuklin, A., Markov, I., De Rijke, M.","","Click models for web search",2015,"Synthesis Lectures on Information Concepts, Retrieval, and Services","7","3",,"1","115",,30,,,Article,"Final",,Scopus,2-s2.0-84991068629
"Miao, J., Gerstlauer, A., Orshansky, M.","57190064775;6603083737;6701801291;","Approximate logic synthesis under general error magnitude and frequency constraints",2013,"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers, ICCAD",,, 6691202,"779","786",,30,"10.1109/ICCAD.2013.6691202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893368533&doi=10.1109%2fICCAD.2013.6691202&partnerID=40&md5=bfd838b403e6bf34db40319450a64a82",Conference Paper,"Final",,Scopus,2-s2.0-84893368533
"Alur, R., D'Antoni, L., Gulwani, S., Kini, D., Viswanathan, M.","7006612991;52863449200;55901318200;51763848100;7102067916;","Automated grading of DFA constructions",2013,"IJCAI International Joint Conference on Artificial Intelligence",,,,"1976","1982",,30,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896063349&partnerID=40&md5=f702bfbd442965222574ba4de5b6a826",Conference Paper,"Final",,Scopus,2-s2.0-84896063349
"Denavas-Walt, C., Proctor, B.D., Smith, J.C.","","US Census Bureau, Current Population Reports, P60-221",2013,"Income Poverty and Health Insurance Coverage in the United States: 2012",,,,"","",,30,,,Article,"Final",,Scopus,2-s2.0-84892270824
"Oberg, J., Hu, W., Irturk, A., Tiwari, M., Sherwood, T., Kastner, R.","27867988700;56437091200;24780279800;24483852000;34873588200;7004638515;","Information flow isolation in I2C and USB",2011,"Proceedings - Design Automation Conference",,, 5981942,"254","259",,30,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052647601&partnerID=40&md5=01f28a36a8d8b4ce00e224c7a087ad84",Conference Paper,"Final",,Scopus,2-s2.0-80052647601
"Mozer, M.C., Pashler, H., Cepeda, N., Lindsey, R., Vul, E.","7003407081;7005642427;6601979785;55125374900;13007233600;","Predicting the optimal spacing of study: A multiscale context model of memory",2009,"Advances in Neural Information Processing Systems 22 - Proceedings of the 2009 Conference",,,,"1321","1330",,30,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858718584&partnerID=40&md5=c3be574cfc7d6aa12ac5064f87ae5caa",Conference Paper,"Final",,Scopus,2-s2.0-84858718584
"Long, C.J., Bunker, D., Li, X., Karen, V.L., Takeuchi, I.","9640116600;55874924700;55718366700;35613481300;7102900497;","Rapid identification of structural phases in combinatorial thin-film libraries using x-ray diffraction and non-negative matrix factorization",2009,"Review of Scientific Instruments","80","10", 103902,"","",,30,"10.1063/1.3216809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350761965&doi=10.1063%2f1.3216809&partnerID=40&md5=0711ffda55624bd7a6194e9055c3c2be",Article,"Final",,Scopus,2-s2.0-70350761965
"Tran, H., Lee, A., Hanany, S., Milligan, M., Renbarger, T.","7202596577;35310906100;6603664120;7004863303;7801656652;","Comparison of the crossed and the Gregorian Mizuguchi-Dragone for wide-field millimeter-wave astronomy",2008,"Applied Optics","47","2",,"103","109",,30,"10.1364/AO.47.000103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40749105336&doi=10.1364%2fAO.47.000103&partnerID=40&md5=39bd1746103b6602cce072206b51024c",Article,"Final",,Scopus,2-s2.0-40749105336
"Pasupathy, R., Henderson, S.G.","24438347400;7201430560;","A testbed of simulation-optimization problems",2006,"Proceedings - Winter Simulation Conference",,, 4117613,"255","263",,30,"10.1109/WSC.2006.323081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250357037&doi=10.1109%2fWSC.2006.323081&partnerID=40&md5=0a2107d1d5bfc668c200824b4c93b948",Conference Paper,"Final",,Scopus,2-s2.0-34250357037
"Washburn, G.N.","","Using situation comedies for pragmatic language teaching and learning",2001,"TESOL Journal","10","4",,"21","26",,30,,,Article,"Final",,Scopus,2-s2.0-84937332869
"Myers, A.C.","","JFlow: Practical mostly-static information flow control",1999,"Symposium on Principles of Programming Languages (POPL)",,,,"228","241",,30,,,Article,"Final",,Scopus,2-s2.0-0001851744
"Banno, E., Ohno, Y., Sakane, Y., Shinagawa, C.","","Genki II: An Integrated Course in Elementary Japanese II",1999,"Genki: An Integrated Course in Elementary Japanese",,,,"","",,30,,,Article,"Final",,Scopus,2-s2.0-33749068789
"Rader, Cyndi, Brand, Cathy, Lewis, Clayton","7005102249;7102268322;35268993400;","Degrees of comprehension: Children's understanding of a visual programming environment",1997,"Conference on Human Factors in Computing Systems - Proceedings",,,,"351","358",,30,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030679095&partnerID=40&md5=f4986921a034c4f41123e662f4fa34ce",Conference Paper,"Final",,Scopus,2-s2.0-0030679095
"Thorson, J.T., Ianelli, J.N., Larsen, E.A., Ries, L., Scheuerell, M.D., Szuwalski, C., Zipkin, E.F.","26538936900;6602949647;57189490101;7006102531;6602180954;55357350200;23669951600;","Joint dynamic species distribution models: a tool for community ordination and spatio-temporal monitoring",2016,"Global Ecology and Biogeography","25","9",,"1144","1158",,29,"10.1111/geb.12464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971484610&doi=10.1111%2fgeb.12464&partnerID=40&md5=f8141cbae00bbd7740204d6c5a2ef69f",Article,"Final",,Scopus,2-s2.0-84971484610
"Matrosov, E.S., Huskova, I., Kasprzyk, J.R., Harou, J.J., Lambert, C., Reed, P.M.","48761511700;55789048300;23972953800;24329473000;7202614345;7202010819;","Many-objective optimization and visual analytics reveal key trade-offs for London's water supply",2015,"Journal of Hydrology","531",,,"1040","1053",,29,"10.1016/j.jhydrol.2015.11.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947976140&doi=10.1016%2fj.jhydrol.2015.11.003&partnerID=40&md5=b206f7f71dcbc32545afcb34c723bd48",Article,"Final",Open Access,Scopus,2-s2.0-84947976140
[No author name available],[No author id available],[No title available],2015,"Vivado Design Suite User Guide","4",,,"","",,29,,,Article,"Final",,Scopus,2-s2.0-84966646031
"Rajendran, J.J.V., Zhang, H., Sinanoglu, O., Karri, R.","25825379000;57192483641;6701712277;7006419874;","High-level synthesis for security and trust",2013,"Proceedings of the 2013 IEEE 19th International On-Line Testing Symposium, IOLTS 2013",,, 6604087,"232","233",,29,"10.1109/IOLTS.2013.6604087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885216910&doi=10.1109%2fIOLTS.2013.6604087&partnerID=40&md5=dafe4d53a8fdf43851c053fc5d0b352a",Conference Paper,"Final",,Scopus,2-s2.0-84885216910
"Banerjee, A., Dunson, D.B., Tokdar, S.T.","55449942500;7006472073;22936346800;","Efficient Gaussian process regression for large datasets",2013,"Biometrika","100","1",,"75","89",,29,"10.1093/biomet/ass068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874776816&doi=10.1093%2fbiomet%2fass068&partnerID=40&md5=d55a9e9541634942e7c5307e2e719c54",Article,"Final",Open Access,Scopus,2-s2.0-84874776816
"Trikeriotis, M., Krysaki, M., Chung, Y.S., Ouyang, C., Cardineau, B., Brainard, R., Ober, C.K., Giannelis, E.P., Cho, K.","15069658600;55430702900;55229289700;36149381600;26631936100;7003705087;7102639603;35496522600;22943567600;","Nanoparticle photoresists from HfO<inf>2</inf>and ZrO<inf>2</inf>for EUV patterning",2012,"Journal of Photopolymer Science and Technology","25","5",,"583","586",,29,"10.2494/photopolymer.25.583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867857408&doi=10.2494%2fphotopolymer.25.583&partnerID=40&md5=da400ab703d1fca25291f9692c3095d1",Article,"Final",Open Access,Scopus,2-s2.0-84867857408
"Chakravarthy, S.R.","","Markovian arrival processes",2010,"Wiley Encyclopedia of Operations Research and Management Science",,,,"","",,29,,,Article,"Final",,Scopus,2-s2.0-84863987795
"Nichols, J., Lau, T.","7201486041;7102222331;","Mobilization by demonstration: Using traces to re-author existing web sites",2008,"International Conference on Intelligent User Interfaces, Proceedings IUI",,, 1378793,"149","158",,29,"10.1145/1378773.1378793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57349083172&doi=10.1145%2f1378773.1378793&partnerID=40&md5=97ced49999cf8496b5ffe0cb1ce00a14",Conference Paper,"Final",,Scopus,2-s2.0-57349083172
"Clark, G.M.","7402875529;","Use of Polya Distributions in Approximate Solutions to Nonstationary M/M/s Queues",1981,"Communications of the ACM","24","4",,"206","217",,29,"10.1145/358598.358620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018999124&doi=10.1145%2f358598.358620&partnerID=40&md5=4c32c9fa7145c942a6d4852a1bf6e5db",Article,"Final",,Scopus,2-s2.0-0018999124
"Sherwin, B.D., Van Engelen, A., Sehgal, N., Madhavacheril, M., Addison, G.E., Aiola, S., Allison, R., Battaglia, N., Becker, D.T., Beall, J.A., Bond, J.R., Calabrese, E., Datta, R., Devlin, M.J., Dünner, R., Dunkley, J., Fox, A.E., Gallardo, P., Halpern, M., Hasselfield, M., Henderson, S., Hill, J.C., Hilton, G.C., Hubmayr, J., Hughes, J.P., Hincks, A.D., Hlozek, R., Huffenberger, K.M., Koopman, B., Kosowsky, A., Louis, T., Maurin, L., McMahon, J., Moodley, K., Naess, S., Nati, F., Newburgh, L., Niemack, M.D., Page, L.A., Sievers, J., Spergel, D.N., Staggs, S.T., Thornton, R.J., Van Lanen, J., Vavagiakis, E., Wollack, E.J.","36769222000;36099576100;23968082500;56167711000;54784190400;56511913900;55978600000;26038920400;35309191700;7005336280;55662855000;24437550600;55135462900;7102114857;23469316500;11140147500;56381952500;55155492900;7201463120;24832636400;56383419500;7404772262;7102890407;8654532300;35483904100;18041568000;16743815300;7801500383;56383513600;57204411304;35113366800;56383649900;7201909659;6701449636;7003705746;9939586500;15078736800;18042151000;55533003000;7005491386;7007108870;6602110438;18042601100;54409657500;56515368300;35546436100;","Two-season Atacama Cosmology Telescope polarimeter lensing power spectrum",2017,"Physical Review D","95","12",,"","",,28,"10.1103/PhysRevD.95.123529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022344044&doi=10.1103%2fPhysRevD.95.123529&partnerID=40&md5=8b300eae1c2e363309b76b7f4e8b7973",Article,"Final",Open Access,Scopus,2-s2.0-85022344044
"Aivaloglou, E., Hermans, F.","6504773964;35573133300;","How kids code and how we know: An exploratory study on the scratch repository",2016,"ICER 2016 - Proceedings of the 2016 ACM Conference on International Computing Education Research",,,,"53","61",,28,"10.1145/2960310.2960325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000613380&doi=10.1145%2f2960310.2960325&partnerID=40&md5=60ca29776041094ddf87056070d6f6c0",Conference Paper,"Final",,Scopus,2-s2.0-85000613380
"Ge, Q., Yarom, Y., Cock, D., Heiser, G.","","A survey of microarchitectural timing attacks and countermeasures on contemporary hardware",2016,"Journal of Cryptographic Engineering",,"613",,"1","27",,28,,,Article,"Final",,Scopus,2-s2.0-85022325236
"Kölling, M., Brown, N.C.C., Altadmri, A.","6701326303;56233934500;35753260900;","Frame-Based editing: Easing the transition from blocks to text-Based programming",2015,"ACM International Conference Proceeding Series","09-11-November-2015",,,"29","38",,28,"10.1145/2818314.2818331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959322032&doi=10.1145%2f2818314.2818331&partnerID=40&md5=0848bd7f4f15c41290244c8231b824ea",Conference Paper,"Final",,Scopus,2-s2.0-84959322032
"Tan, C.T., Leong, T.W., Shen, S., Dubravs, C., Si, C.","34877549700;55234419400;56157229100;57144678000;57078128400;","Exploring gameplay experiences on the oculus rift",2015,"CHI PLAY 2015 - Proceedings of the 2015 Annual Symposium on Computer-Human Interaction in Play",,,,"253","264",,28,"10.1145/2793107.2793117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959295531&doi=10.1145%2f2793107.2793117&partnerID=40&md5=2d0dac934e5418e2e38363ec9cb1306f",Conference Paper,"Final",,Scopus,2-s2.0-84959295531
"Evtyushkin, D., Elwell, J., Ozsoy, M., Ponomarev, D., Ghazaleh, N.A., Riley, R.","51161396800;36782129000;36706615900;7005755869;56168363200;22981455200;","Iso-X: A Flexible Architecture for Hardware-Managed Isolated Execution",2015,"Proceedings of the Annual International Symposium on Microarchitecture, MICRO","2015-January","January", 7011388,"190","202",,28,"10.1109/MICRO.2014.25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937711752&doi=10.1109%2fMICRO.2014.25&partnerID=40&md5=e6e3f53188a90fd88a00ddd04031a7f9",Conference Paper,"Final",,Scopus,2-s2.0-84937711752
"Lee, S., Kim, Y., Kim, J., Kim, J.","56812964400;56259399400;8930285900;36067033300;","Stealing webpages rendered on your browser by exploiting GPU vulnerabilities",2014,"Proceedings - IEEE Symposium on Security and Privacy",,, 6956554,"19","33",,28,"10.1109/SP.2014.9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914100506&doi=10.1109%2fSP.2014.9&partnerID=40&md5=f0f82dfe5a2ee520eec22bba17f0b896",Conference Paper,"Final",,Scopus,2-s2.0-84914100506
"Zemel, R., Wu, Y., Swersky, K., Pitassi, T., Dwork, C.","","Learning fair representations",2013,"ICML",,"3",,"325","333",,28,,,Article,"Final",,Scopus,2-s2.0-84938910304
"Reed, P.M., Kollat, J.B.","7202010819;8717403800;","Visual analytics clarify the scalability and effectiveness of massively parallel many-objective optimization: A groundwater monitoring design example",2013,"Advances in Water Resources","56",,,"1","13",,28,"10.1016/j.advwatres.2013.01.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878906039&doi=10.1016%2fj.advwatres.2013.01.011&partnerID=40&md5=0e0fd9d3e524eda4bca19784e0be5ec8",Article,"Final",,Scopus,2-s2.0-84878906039
"Andersen, E., Liu, Y.-E., Snider, R., Szeto, R., Cooper, S., Popović, Z.","36195621900;36195914900;39362287900;26433872700;14821916000;35176314800;","On the harmfulness of secondary game objectives",2011,"Proceedings of the 6th International Conference on the Foundations of Digital Games, FDG 2011",,,,"30","37",,28,"10.1145/2159365.2159370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858979036&doi=10.1145%2f2159365.2159370&partnerID=40&md5=bd3714119b10de123fc062f1ca333967",Conference Paper,"Final",,Scopus,2-s2.0-84858979036
"Pasupathy, R., Henderson, S.G.","24438347400;7201430560;","SimOpt: A library of simulation optimization problems",2011,"Proceedings - Winter Simulation Conference",,, 6148097,"4075","4085",,28,"10.1109/WSC.2011.6148097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858022955&doi=10.1109%2fWSC.2011.6148097&partnerID=40&md5=48c724bcf74c10ee9d08ba36e5c8bd11",Conference Paper,"Final",,Scopus,2-s2.0-84858022955
"Calders, T., Kamiran, F., Pechenizkiy, M.","6602374017;34879836200;55900254600;","Building classifiers with independency constraints",2009,"ICDM Workshops 2009 - IEEE International Conference on Data Mining",,, 5360534,"13","18",,28,"10.1109/ICDMW.2009.83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951199637&doi=10.1109%2fICDMW.2009.83&partnerID=40&md5=d02f55d418a0caef349e536c86f0d67c",Conference Paper,"Final",,Scopus,2-s2.0-77951199637
"Goulah, J.","16202696800;","Village voices, global visions: Digital video as a transformative foreign language learning tool",2007,"Foreign Language Annals","40","1",,"62","78",,28,"10.1111/j.1944-9720.2007.tb02854.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34147173724&doi=10.1111%2fj.1944-9720.2007.tb02854.x&partnerID=40&md5=eabc37fa38de0e226e7c9f396e9b0d7d",Review,"Final",,Scopus,2-s2.0-34147173724
"Chong, S., Myers, A.C.","7201660989;7202743179;","Decentralized robustness",2006,"Proceedings of the Computer Security Foundations Workshop","2006",, 1648722,"242","253",,28,"10.1109/CSFW.2006.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947615814&doi=10.1109%2fCSFW.2006.11&partnerID=40&md5=3e7ac3cb686fe4aaf2b09ba74640d60a",Conference Paper,"Final",,Scopus,2-s2.0-33947615814
"L'Ecuyer, P.","","On the interchange of derivative and expectation for likelihood ratio derivative estimators",1995,"Management Science","41","4",,"738","748",,28,,,Article,"Final",,Scopus,2-s2.0-0011744299
"Rivers, K., Koedinger, K.R.","55255761000;6603678234;","Data-Driven Hint Generation in Vast Solution Spaces: a Self-Improving Python Programming Tutor",2017,"International Journal of Artificial Intelligence in Education","27","1",,"37","64",,27,"10.1007/s40593-015-0070-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009945283&doi=10.1007%2fs40593-015-0070-z&partnerID=40&md5=65e5dd38852c5e47b4ddbe2796dfad7f",Article,"Final",,Scopus,2-s2.0-85009945283
"Foley, B.J., Girard, J., Sorenson, B.A., Chen, A.Z., Scott Niezgoda, J., Alpert, M.R., Harper, A.F., Smilgies, D.-M., Clancy, P., Saidi, W.A., Choi, J.J.","56708231000;57192586247;57192577231;57192588162;56979406900;57192593368;57191925884;7003298142;7005801834;55536567700;57201843608;","Controlling nucleation, growth, and orientation of metal halide perovskite thin films with rationally selected additives",2017,"Journal of Materials Chemistry A","5","1",,"113","123",,27,"10.1039/c6ta07671h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006930888&doi=10.1039%2fc6ta07671h&partnerID=40&md5=5472284dbb0d331da79b2e0f6674f621",Article,"Final",,Scopus,2-s2.0-85006930888
"Ade, P.A.R., Ahmed, Z., Aikin, R.W., Alexander, K.D., Barkats, D., Benton, S.J., Bischoff, C.A., Bock, J.J., Bowens-Rubin, R., Brevik, J.A., Buder, I., Bullock, E., Buza, V., Connors, J., Crill, B.P., Duband, L., Dvorkin, C., Filippini, J.P., Fliescher, S., Grayson, J., Halpern, M., Harrison, S., Hildebrandt, S.R., Hilton, G.C., Hui, H., Irwin, K.D., Kang, J., Karkare, K.S., Karpel, E., Kaufman, J.P., Keating, B.G., Kefeli, S., Kernasovskiy, S.A., Kovac, J.M., Kuo, C.L., Leitch, E.M., Lueker, M., Megerian, K.G., Namikawa, T., Netterfield, C.B., Nguyen, H.T., O'Brient, R., Iv, R.W.O., Orlando, A., Pryke, C., Richter, S., Schwarz, R., Sheehy, C.D., Staniszewski, Z.K., Steinbach, B., Sudiwala, R.V., Teply, G.P., Thompson, K.L., Tolan, J.E., Tucker, C., Turner, A.D., Vieregg, A.G., Weber, A.C., Wiebe, D.V., Willmert, J., Wong, C.L., Wu, W.L.K., Yoon, K.W.","57202594537;8647812300;24832653300;56517612300;6505952161;24832628900;8540383500;7202971037;55210952600;14821772300;36454762400;55549317400;56568155200;56517719000;35748506700;6603035064;23989988700;10738811500;56991470800;55548923200;7201463120;56927534900;7005662100;7102890407;25225598300;8322212900;56517285100;56226355000;56518032500;24833340300;7007012492;56518217200;55549106000;7101746045;56514434900;35173035000;6506262338;6507079874;36802579700;6603689596;24833215600;6506725695;56940805400;7005983485;6603036698;57198118088;8137591800;14523629000;16640306300;24833705300;35414646000;36483517300;7402891599;35724434000;7201903009;7401819741;36344414400;55575047000;14825926700;56897306900;36483605800;55673815200;35312953000;","Bicep2/KECK ARRAY VIII: MEASUREMENT of GRAVITATIONAL LENSING from LARGE-SCALE B-MODE POLARIZATION",2016,"Astrophysical Journal","833","2", 228,"","",,27,"10.3847/1538-4357/833/2/228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007610553&doi=10.3847%2f1538-4357%2f833%2f2%2f228&partnerID=40&md5=e54d541525ece786ef17141a6f83caa2",Article,"Final",Open Access,Scopus,2-s2.0-85007610553
"Gelbart, M.A., Snoek, J., Adams, R.P.","36054363100;15129127600;55366781900;","Bayesian optimization with unknown constraints",2014,"Uncertainty in Artificial Intelligence - Proceedings of the 30th Conference, UAI 2014",,,,"250","259",,27,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923304818&partnerID=40&md5=87c0ea0cf0d24b3a817c4ba9b450d262",Conference Paper,"Final",,Scopus,2-s2.0-84923304818
"Shochet, M.","","Fast TracKer (FTK) Technical Design Report",2013,"Fast TracKer (FTK) Technical Design Report",,,,"","",,27,,,Article,"Final",,Scopus,2-s2.0-84893046997
"Chakrabarty, S., Ouyang, C., Krysak, M., Trikeriotis, M., Cho, K., Giannelis, E.P., Ober, C.K.","57196984260;36149381600;26632262400;15069658600;7403957238;35496522600;7102639603;","Oxide nanoparticle EUV resists: Toward understanding the mechanism of positive and negative tone patterning",2013,"Proceedings of SPIE - The International Society for Optical Engineering","8679",, 867906,"","",,27,"10.1117/12.2011490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878421312&doi=10.1117%2f12.2011490&partnerID=40&md5=3883a752362029b11d496cdd660f642c",Conference Paper,"Final",,Scopus,2-s2.0-84878421312
"Mazin, B.A.","23103322600;","Microwave kinetic inductance detectors: The first decade",2009,"AIP Conference Proceedings","1185",,,"135","143",,27,"10.1063/1.3292300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74349128111&doi=10.1063%2f1.3292300&partnerID=40&md5=1a4c80ad27d155effd7329432b0bcf68",Conference Paper,"Final",,Scopus,2-s2.0-74349128111
"John, E., YIldIrIm, E.A.","36862332600;7006050139;","Implementation of warm-start strategies in interior-point methods for linear programming in fixed dimension",2008,"Computational Optimization and Applications","41","2",,"151","183",,27,"10.1007/s10589-007-9096-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53349107717&doi=10.1007%2fs10589-007-9096-y&partnerID=40&md5=35b4f8a44bbc9071a85fbded6131f97e",Article,"Final",,Scopus,2-s2.0-53349107717
"Lai, H.-C., Savvides, M., Chen, T.","24338499800;6603557177;7405544614;","Proposed FPGA hardware architecture for high frame rate (&gt;100 fps) face detection using feature cascade classifiers",2007,"IEEE Conference on Biometrics: Theory, Applications and Systems, BTAS'07",,, 4401930,"","",,27,"10.1109/BTAS.2007.4401930","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48649101995&doi=10.1109%2fBTAS.2007.4401930&partnerID=40&md5=c8f8e77505e8bcc169e916af0d162dc1",Conference Paper,"Final",,Scopus,2-s2.0-48649101995
"Narasimhan, M., Ramanujam, J.","57196855670;7003414228;","A fast approach to computing exact solutions to the Resource-Constrained Scheduling problem",2001,"ACM Transactions on Design Automation of Electronic Systems","6","4",,"490","500",,27,"10.1145/502175.502178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-23044530732&doi=10.1145%2f502175.502178&partnerID=40&md5=54b33ddd4ef3734bad2350e582a1c53d",Article,"Final",,Scopus,2-s2.0-23044530732
"Li, H.Z.","14050529900;","Grounding and information communication in intercultural and intracultural dyadic discourse",1999,"Discourse Processes","28","3",,"195","215",,27,"10.1080/01638539909545081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0006601793&doi=10.1080%2f01638539909545081&partnerID=40&md5=60ee1a3f99a914a7c7c2777881b72c6e",Article,"Final",,Scopus,2-s2.0-0006601793
"Rice, M.","7202083776;","The role of television in language acquisition",1983,"Developmental Review","3","2",,"211","224",,27,"10.1016/0273-2297(83)90030-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-7744243335&doi=10.1016%2f0273-2297%2883%2990030-8&partnerID=40&md5=cd1263799cc382e8eeedb72d16bcf741",Article,"Final",,Scopus,2-s2.0-7744243335
"Joachims, T., Swaminathan, A., Schnabel, T.","6602804136;55523007700;56097227000;","Unbiased learning-to-rank with biased feedback",2017,"WSDM 2017 - Proceedings of the 10th ACM International Conference on Web Search and Data Mining",,,,"781","789",,26,"10.1145/3018661.3018699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015338094&doi=10.1145%2f3018661.3018699&partnerID=40&md5=68c2b2f1c007517af57518d663092cfb",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85015338094
"Xu, F., Zhang, T., Li, G., Zhao, Y.","56816115700;57198705555;56883284300;55851311200;","Mixed cation hybrid lead halide perovskites with enhanced performance and stability",2017,"Journal of Materials Chemistry A","5","23",,"11450","11461",,26,"10.1039/c7ta00042a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021766773&doi=10.1039%2fc7ta00042a&partnerID=40&md5=2b13a2f99aef5101562421a6a6d5325b",Review,"Final",,Scopus,2-s2.0-85021766773
