Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Solon, G., Haider, S.J., Wooldridge, J.M.","6602267759;7102816151;7005740338;","What are we weighting for?",2015,"Journal of Human Resources","50","2",,"301","316",,181,"10.3368/jhr.50.2.301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925949249&doi=10.3368%2fjhr.50.2.301&partnerID=40&md5=be527a690fe315a2af7958cd96fd1a76",Article,"Final",,Scopus,2-s2.0-84925949249
"Thornton, A.","7101607238;","Influence of the marital history of parents on the marital and cohabitational experiences of children",1991,"American Journal of Sociology","96","4",,"868","894",,181,"10.1086/229611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026330111&doi=10.1086%2f229611&partnerID=40&md5=a661fd01447a721cb840e75f95212ced",Article,"Final",,Scopus,2-s2.0-0026330111
"Macpherson, D.A., Hirsch, B.T.","","Wages and gender composition: Why do women's jobs pay less?",1995,"Journal of Labor Economics","13","3",,"426","471",,180,,,Article,"Final",,Scopus,2-s2.0-21844523545
"Ridgeway, C.L., Correll, S.J.","7004190680;6604085679;","Motherhood as a status characteristic",2004,"Journal of Social Issues","60","4",,"683","700",,179,"10.1111/j.0022-4537.2004.00380.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10944228057&doi=10.1111%2fj.0022-4537.2004.00380.x&partnerID=40&md5=f44ca581c99e6b53852708d8b1e18dd3",Article,"Final",,Scopus,2-s2.0-10944228057
"Stern, S.","","Measuring the effect of disability on labor force participation",1989,"Journal of Human Resources","24","3",,"361","395",,177,,,Article,"Final",,Scopus,2-s2.0-0002146749
[No author name available],[No author id available],[No title available],2006,"Beyond Bias and Barriers: Fulfilling the Potential of Women in Academic Science and Engineering",,,,"","",,175,,,Article,"Final",,Scopus,2-s2.0-33750437722
"Korenman, S., Neumark, D.","","Marriage, motherhood, and wages",1992,"Journal of Human Resources","27","2",,"233","255",,175,,,Article,"Final",,Scopus,2-s2.0-0001100108
"Cech, E., Rubineau, B., Silbey, S., Seron, C.","24491438500;6503927496;6602478607;6602794037;","Professional role confidence and gendered persistence in engineering",2011,"American Sociological Review","76","5",,"641","666",,174,"10.1177/0003122411420815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053196359&doi=10.1177%2f0003122411420815&partnerID=40&md5=b7f9bbb41fa65874f1c17224ef65f6b9",Article,"Final",,Scopus,2-s2.0-80053196359
"Lundberg, S., Rose, E.","7005986497;7202517790;","Parenthood and the earnings of married men and women",2000,"Labour Economics","7","6",,"689","710",,174,"10.1016/S0927-5371(00)00020-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001051431&doi=10.1016%2fS0927-5371%2800%2900020-8&partnerID=40&md5=eb38ef8aa87414d8132e4637ef8460b3",Article,"Final",,Scopus,2-s2.0-0001051431
"Goldscheider, F.K., Waite, L.J.","","Sex differences in the entry into marriage",1986,"American Journal of Sociology","92","1",,"91","109",,174,,,Article,"Final",,Scopus,2-s2.0-84936628341
"Gray, K., Wegner, D.M.","15520639300;7006783731;","Moral Typecasting: Divergent Perceptions of Moral Agents and Moral Patients",2009,"Journal of Personality and Social Psychology","96","3",,"505","520",,173,"10.1037/a0013748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-62649158365&doi=10.1037%2fa0013748&partnerID=40&md5=3d0b96194b8591bea48aac34b4c94fb1",Article,"Final",,Scopus,2-s2.0-62649158365
"Pager, D.","8897996400;","The use of field experiments for studies of employment discrimination: Contributions, critiques, and directions for the future",2007,"Annals of the American Academy of Political and Social Science","609","1",,"104","133",,170,"10.1177/0002716206294796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845670442&doi=10.1177%2f0002716206294796&partnerID=40&md5=dad0ff15274ca2c02c6a79f4e9b6cb7f",Article,"Final",,Scopus,2-s2.0-33845670442
"Bertrand, M.","7202308604;","New perspectives on gender",2011,"Handbook of Labor Economics","4","PART B",,"1543","1590",,168,"10.1016/S0169-7218(11)02415-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953101334&doi=10.1016%2fS0169-7218%2811%2902415-4&partnerID=40&md5=a022c181c0774ecd81b8675bd41ddf2e",Book,"Final",,Scopus,2-s2.0-79953101334
"Blau, F.D., Kahn, L.M.","7004255822;7101873406;","The gender pay gap: Have women gone as for as they can?",2007,"Academy of Management Perspectives","21","1",,"7","23",,168,"10.5465/AMP.2007.24286161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247144011&doi=10.5465%2fAMP.2007.24286161&partnerID=40&md5=857ced83470b87574e28a7518036ccdb",Article,"Final",,Scopus,2-s2.0-34247144011
"Becker, T.E.","7202272269;","Integrity in organizations: Beyond honesty and conscientiousness",1998,"Academy of Management Review","23","1",,"154","161",,168,"10.5465/AMR.1998.192969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032356739&doi=10.5465%2fAMR.1998.192969&partnerID=40&md5=7078227a27fe427f2d32e5645ba17fbe",Article,"Final",,Scopus,2-s2.0-0032356739
"Roberts, D.E.","7404254297;","The social and moral cost of mass incarceration in African American communities",2004,"Stanford Law Review","56","5",,"1271","1305",,167,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442665295&partnerID=40&md5=b486da580d1b26e8204a5fe1c3f1e203",Conference Paper,"Final",,Scopus,2-s2.0-2442665295
"Autor, D.H., Kerr, W.R., Kugler, A.D.","6602634280;23469786000;7007041469;","Does employment protection reduce productivity? Evidence from US states",2007,"Economic Journal","117","521",,"F189","F217",,165,"10.1111/j.1468-0297.2007.02055.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347380322&doi=10.1111%2fj.1468-0297.2007.02055.x&partnerID=40&md5=4800fd617b80a2139e29cc60594e58d6",Article,"Final",Open Access,Scopus,2-s2.0-34347380322
"Brainerd, E.","7004484866;","Women in transition: Changes in gender wage differentials in Eastern Europe and the former Soviet Union",2000,"Industrial and Labor Relations Review","54","1",,"138","162",,165,"10.1177/001979390005400108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000805206&doi=10.1177%2f001979390005400108&partnerID=40&md5=9c902948ed30897d32ae456939961f3c",Article,"Final",,Scopus,2-s2.0-0000805206
"Bayard, K., Hellerstein, J., Neumark, D., Troske, K.","6506025808;7007083052;57203256449;6602873273;","New Evidence on Sex Segregation and Sex Differences in Wages from Matched Employee-Employer Data",2003,"Journal of Labor Economics","21","4",,"887","922",,164,"10.1086/377026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0348217885&doi=10.1086%2f377026&partnerID=40&md5=267e216acdfd170a6abadf27ba8cc721",Review,"Final",,Scopus,2-s2.0-0348217885
"Lazear, E.P., Rosen, S.","","Male-female wage differentials in job ladders",1990,"Journal of Labor Economics","8","1",,"S106","S123",,164,,,Article,"Final",,Scopus,2-s2.0-0000309817
"Western, B., Pettit, B.","7003553983;7003629500;","Incarceration &amp; social inequality",2010,"Daedalus","139","3",,"8","19",,163,"10.1162/DAED_a_00019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956858609&doi=10.1162%2fDAED_a_00019&partnerID=40&md5=77beb770a8dbcee7381c8f431f3158a2",Article,"Final",,Scopus,2-s2.0-77956858609
"Tomaskovic-Devey, D., Zimmer, C., Stainback, K., Robinson, C., Taylor, T., McTague, T.","6602721649;7102861435;8219089200;8219089300;7402299263;14819544100;","Documenting desegregation: Segregation in American workplaces by race, ethnicity, and sex, 1966-2003",2006,"American Sociological Review","71","4",,"565","588",,161,"10.1177/000312240607100403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749181099&doi=10.1177%2f000312240607100403&partnerID=40&md5=aa4c42fa4379911d05ce0dfaa816df53",Article,"Final",,Scopus,2-s2.0-33749181099
"Meyer, B.","","Lessons from the U.S. unemployment insurance experiments",1995,"Journal of Economic Literature","33","1",,"91","131",,161,,,Article,"Final",,Scopus,2-s2.0-0002989004
"Travis, J.","","Invisible punishment: An instrument of social exclusion",2002,"Invisible Punishment: The Collateral Consequences of Mass Imprisonment",,,,"15","36",,160,,,Article,"Final",,Scopus,2-s2.0-21644466004
"Bailey, M.J.","14631703900;","More power to the pill: The impact of contraceptive freedom on women's life cycle labor supply",2006,"Quarterly Journal of Economics","121","1",,"289","320",,157,"10.1162/qjec.2006.121.1.289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644867352&doi=10.1162%2fqjec.2006.121.1.289&partnerID=40&md5=c4bbf5b071981ba3855db5b53b6f01a5",Article,"Final",Open Access,Scopus,2-s2.0-33644867352
"Feather, N.T.","7005712811;","Attitudes toward high achievers and reactions to their fall: Theory and research concerning tall poppies",1994,"Advances in Experimental Social Psychology","26","C",,"1","73",,155,"10.1016/S0065-2601(08)60151-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957030589&doi=10.1016%2fS0065-2601%2808%2960151-3&partnerID=40&md5=25c71b99c119cc80da9a39a3c5d55c28",Article,"Final",,Scopus,2-s2.0-77957030589
"Hakim, C.","7004449314;","Women, careers, and work-life preferences",2006,"British Journal of Guidance and Counselling","34","3",,"279","294",,151,"10.1080/03069880600769118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746259683&doi=10.1080%2f03069880600769118&partnerID=40&md5=75dc4475d730093ca465af70daaa323b",Article,"Final",,Scopus,2-s2.0-33746259683
"Pencavel, J.","",[No title available],1991,"Labor Markets Under Trade Unionism",,,,"","",,151,,,Article,"Final",,Scopus,2-s2.0-0003478112
"Lammers, J., Stapel, D.A., Galinsky, A.D.","24332169200;7006053052;6701326505;","Power increases hypocrisy: Moralizing in reasoning, immorality in behavior",2010,"Psychological Science","21","5",,"737","744",,150,"10.1177/0956797610368810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953791163&doi=10.1177%2f0956797610368810&partnerID=40&md5=8c8703d030c5a05606232ffd60e3dc2e",Article,"Final",,Scopus,2-s2.0-77953791163
"Aronson, E., Fried, C., Stone, J.","7003575566;7003418354;7403061194;","Overcoming denial and increasing the intention to use condoms through the induction of hypocrisy",1991,"American Journal of Public Health","81","12",,"1636","1638",,150,"10.2105/AJPH.81.12.1636","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026323165&doi=10.2105%2fAJPH.81.12.1636&partnerID=40&md5=e93e24e953f8a2da434f9e165a880e49",Article,"Final",Open Access,Scopus,2-s2.0-0026323165
"Ehrenberg, R.G., Brewer, D.J., Gamoran, A., Willms, J.D.","7004625566;7102103586;6603755086;56748918000;","Class Size and Student Achievement",2001,"Psychological Science in the Public Interest","2","1",,"1","30",,149,"10.1111/1529-1006.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996260003&doi=10.1111%2f1529-1006.003&partnerID=40&md5=b250902082a6ce10ed56fed18cf38d25",Article,"Final",Open Access,Scopus,2-s2.0-84996260003
"Cikara, M., Bruneau, E.G., Saxe, R.R.","36514320100;9636706500;6603622422;","Us and them: Intergroup failures of empathy",2011,"Current Directions in Psychological Science","20","3",,"149","153",,146,"10.1177/0963721411408713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957790043&doi=10.1177%2f0963721411408713&partnerID=40&md5=ff94b074b9b71e19c877cb8f02e8cdea",Review,"Final",,Scopus,2-s2.0-79957790043
"Paglin, M., Rufolo, A.M.","","Heterogeneous human capital, occupational choice, and male-female earnings differences",1990,"Journal of Labor Economics","8","1",,"123","144",,146,,,Article,"Final",,Scopus,2-s2.0-0000173097
"Blau, F.D., Kahn, L.M.","","Race and sex differences in quits by young workers",1981,"Industrial and Labor Relations Review","34","4",,"563","577",,146,,,Article,"Final",,Scopus,2-s2.0-84925930020
"Furstenberg, F.F., Kennedy, S., McLoyd, V.C., Rumbaut, R.G., Settersten, R.A.","","Growing up is harder to do",2004,"Contexts","3","3",,"33","41",,145,,,Article,"Final",,Scopus,2-s2.0-85044979460
"Eyal, T., Liberman, N., Trope, Y.","23096890900;7003316730;7004477137;","Judging near and distant virtue and vice",2008,"Journal of Experimental Social Psychology","44","4",,"1204","1209",,144,"10.1016/j.jesp.2008.03.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44649084222&doi=10.1016%2fj.jesp.2008.03.012&partnerID=40&md5=8572d27ea28fe8ab8c71c18c9b1c3676",Article,"Final",,Scopus,2-s2.0-44649084222
"Hanson, G.H.","7201565847;","Illegal migration from Mexico to the United States",2006,"Journal of Economic Literature","44","4",,"869","924",,144,"10.1257/jel.44.4.869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847344710&doi=10.1257%2fjel.44.4.869&partnerID=40&md5=334e92d4201c0b952fa6041dd0e2447c",Review,"Final",,Scopus,2-s2.0-33847344710
"Sandell, S.H.","","Women and the economics of family migration",1977,"Review of Economics and Statistics","59","4",,"406","414",,144,,,Article,"Final",,Scopus,2-s2.0-0001338394
"Reuben, E., Sapienza, P., Zingales, L.","23101015800;7004926273;7004110147;","How stereotypes impair women's careers in science",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","12",,"4403","4408",,143,"10.1073/pnas.1314788111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896924358&doi=10.1073%2fpnas.1314788111&partnerID=40&md5=9759e01f21d051b47e0772b36bbb050f",Article,"Final",Open Access,Scopus,2-s2.0-84896924358
"Choi, I., Nisbett, R.E.","7401471711;7003314050;","Cultural psychology of surprise: Holistic theories and recognition of contradiction",2000,"Journal of Personality and Social Psychology","79","6",,"890","905",,143,"10.1037/0022-3514.79.6.890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034571770&doi=10.1037%2f0022-3514.79.6.890&partnerID=40&md5=41f83c9d30978b971e1885f7adea5b68",Article,"Final",,Scopus,2-s2.0-0034571770
"Xie, Y., Raymo, J.M., Goyette, K., Thornton, A.","7403959608;6602573913;6602670704;7101607238;","Economic potential and entry into marriage and cohabitation",2003,"Demography","40","2",,"351","367",,139,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141939588&partnerID=40&md5=4334ab42858edec7ab6e54d24cf11510",Article,"Final",,Scopus,2-s2.0-0141939588
"Freeman, R.B., Katz, L.F.","",[No title available],1995,"Differences and Changes in Wage Structures",,,,"","",,138,,,Article,"Final",,Scopus,2-s2.0-0004187273
[No author name available],[No author id available],[No title available],2004,"Employment Outlook 2004",,,,"","",,136,,,Article,"Final",,Scopus,2-s2.0-24144440052
"Lazear, E.P., Shaw, K.L.","6603061257;7202206335;","Personnel economics: The economist's view of human resources",2007,"Journal of Economic Perspectives","21","4",,"91","114",,135,"10.1257/jep.21.4.91","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37849027043&doi=10.1257%2fjep.21.4.91&partnerID=40&md5=9d385b90bd84b18a997030c00543c45c",Article,"Final",Open Access,Scopus,2-s2.0-37849027043
"Glass, J., Camarigg, V.","7201603506;6507064336;","Gender, parenthood, and job-family compatibility",1992,"American Journal of Sociology","98","1",,"131","151",,135,"10.1086/229971","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026958019&doi=10.1086%2f229971&partnerID=40&md5=1aa826f9840feb9edb0efe98c14453af",Article,"Final",,Scopus,2-s2.0-0026958019
"Leonard, J.S.","","The impact of affirmative action regulation and equal employment law on black employment",1990,"Journal of Economic Perspectives","4","4",,"47","63",,135,,,Article,"Final",,Scopus,2-s2.0-0001942447
"Fuchs, V.R.","",[No title available],1988,"Women's Quest for Economic Equality",,,,"","",,134,,,Article,"Final",,Scopus,2-s2.0-84936823549
"Torche, F.","9840438400;","Is a college degree still the great equalizer? Intergenerational mobility across levels of schooling in the United States",2011,"American Journal of Sociology","117","3",,"763","807",,132,"10.1086/661904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80555123669&doi=10.1086%2f661904&partnerID=40&md5=3864bb67ff308c179a7cac459cc87141",Article,"Final",,Scopus,2-s2.0-80555123669
"King, B.G., Felin, T., Whetten, D.A.","8421746600;25221323200;6506648229;","Finding the organization in organizational theory: A meta-theory of the organization as a social actor",2010,"Organization Science","21","1",,"290","305",,131,"10.1287/orsc.1090.0443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953704941&doi=10.1287%2forsc.1090.0443&partnerID=40&md5=dba2d210e606c1222caa02dd95b82e5a",Article,"Final",,Scopus,2-s2.0-77953704941
"Jamil, Z.","57195330124;","Empathy: A motivated account",2014,"Psychological Bulletin","140","6",,"1608","1647",,130,"10.1037/a0037679","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926411292&doi=10.1037%2fa0037679&partnerID=40&md5=f8250d8c15a0a0f9a5c422b694d7f867",Review,"Final",,Scopus,2-s2.0-84926411292
"Olivetti, C., Petrongolo, B.","6603249168;8961803300;","Unequal pay or unequal employment? A cross-country analysis of gender gaps",2008,"Journal of Labor Economics","26","4",,"621","654",,130,"10.1086/589458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51949096109&doi=10.1086%2f589458&partnerID=40&md5=331f0907979021edb006d26157160e06",Article,"Final",,Scopus,2-s2.0-51949096109
"Dineen, B.R., Lewicki, R.J., Tomlinson, E.C.","6701827262;6603775100;8046409300;","Supervisory guidance and behavioral integrity: Relationships with employee citizenship and deviant behavior",2006,"Journal of Applied Psychology","91","3",,"622","635",,130,"10.1037/0021-9010.91.3.622","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745301337&doi=10.1037%2f0021-9010.91.3.622&partnerID=40&md5=f86d2ce84bfdede7519973c121ea9c5f",Article,"Final",,Scopus,2-s2.0-33745301337
"Bertrand, M., Chugh, D., Mullainathan, S., Black, D., Neumark, D., Lundberg, S., Charles, K.","7202308604;6701321695;6603277860;7402568800;57203256449;7005986497;7004061909;","Implicit discrimination",2005,"American Economic Review","95","2",,"94","98",,130,"10.1257/000282805774670365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747448645&doi=10.1257%2f000282805774670365&partnerID=40&md5=4c5d44fbde13552805b2fbe7502838f1",Article,"Final",,Scopus,2-s2.0-33747448645
"Black, S.E., Brainerd, E.","8450457100;7004484866;","Importing equality? The impact of globalization on gender discrimination",2004,"Industrial and Labor Relations Review","57","4",,"540","559",,130,"10.1177/001979390405700404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4444315306&doi=10.1177%2f001979390405700404&partnerID=40&md5=06fe8a0fe2f596ecb5e56c75074678e1",Article,"Final",,Scopus,2-s2.0-4444315306
"Crompton, R., Lyonette, C.","7004564297;10041768300;","The new gender essentialism - Domestic and family 'choices' and their relation to attitudes",2005,"British Journal of Sociology","56","4",,"601","620",,129,"10.1111/j.1468-4446.2005.00085.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144499247&doi=10.1111%2fj.1468-4446.2005.00085.x&partnerID=40&md5=b80dba17c7053688de97585fcced48af",Review,"Final",,Scopus,2-s2.0-29144499247
"Black, S.E., Strahan, P.E.","8450457100;6701621055;","The division of spoils: Rent-sharing and discrimination in a regulated industry",2001,"American Economic Review","91","4",,"814","831",,129,"10.1257/aer.91.4.814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001502411&doi=10.1257%2faer.91.4.814&partnerID=40&md5=ea5cd551d5445e2a07bcd5d985145ccb",Article,"Final",,Scopus,2-s2.0-0001502411
"Mason, M.A., Wolfinger, N.H., Goulden, M.","7201987327;6603621658;35983430300;","Do babies matter?: Gender and family in the ivory tower",2013,"Do Babies Matter?: Gender and Family in the Ivory Tower",,,,"1","173",,128,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944587720&partnerID=40&md5=4b5d205e168de67e066276ca78e14df5",Book,"Final",,Scopus,2-s2.0-84944587720
"Clarkberg, M.","6507958568;","The price of partnering: The role of economic well-being in young adults' first union experiences",1999,"Social Forces","77","3",,"945","968",,127,"10.1093/sf/77.3.945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033241646&doi=10.1093%2fsf%2f77.3.945&partnerID=40&md5=4888c95473fa21687caae546f5f61cab",Article,"Final",,Scopus,2-s2.0-0033241646
"Feather, N.T.","7005712811;","Judgments of deservingness: Studies in the psychology of justice and achievement",1999,"Personality and Social Psychology Review","3","2",,"86","107",,127,"10.1207/s15327957pspr0302_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033419882&doi=10.1207%2fs15327957pspr0302_1&partnerID=40&md5=a2dbd5d318b48ee406b47a6a1205f4c5",Article,"Final",,Scopus,2-s2.0-0033419882
"Ho, A.K., Sidanius, J., Pratto, F., Levin, S., Thomsen, L., Kteily, N., Sheehy-Skeffington, J.","26025873100;7003730885;7003942397;56823810000;16403274900;36559747600;55185204000;","Social dominance orientation: Revisiting the structure and function of a variable predicting social and political attitudes",2012,"Personality and Social Psychology Bulletin","38","5",,"583","606",,125,"10.1177/0146167211432765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859770424&doi=10.1177%2f0146167211432765&partnerID=40&md5=994fbe9a0bbe123ef313e0823b3d35f5",Article,"Final",,Scopus,2-s2.0-84859770424
"Blau, F.D., Beller, A.H.","","Trends in earnings differentials by gender, 1971-1981",1988,"Industrial and Labor Relations Review","41","4",,"513","529",,125,,,Article,"Final",,Scopus,2-s2.0-0001529077
"Babcock, L., Laschever, S.","","Women don't ask",2003,"Women Don't Ask",,,,"","",,124,,,Article,"Final",,Scopus,2-s2.0-2542564830
"Smith, R.S.","","Compensating wage differentials and public policy: A review",1979,"Industrial and Labor Relations Review","32","3",,"339","352",,124,,,Article,"Final",,Scopus,2-s2.0-84938048356
"Goodman, S.W.","36089007600;","Integration requirements for integration's sake? Identifying, categorising and comparing civic integration policies",2010,"Journal of Ethnic and Migration Studies","36","5",,"753","772",,123,"10.1080/13691831003764300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952948400&doi=10.1080%2f13691831003764300&partnerID=40&md5=0978cf70b175e8eb1fadf18b15b856ce",Article,"Final",,Scopus,2-s2.0-77952948400
"Kurzban, R.","",[No title available],2010,"Why everyone (else) is a hypocrite: Evolution and the modular mind",,,,"","",,122,,,Article,"Final",,Scopus,2-s2.0-77955777338
"Royalty, A.B.","6602281049;","Job-to-job and job-to-nonemployment turnover by gender and education level",1998,"Journal of Labor Economics","16","2",,"392","443",,122,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039572302&partnerID=40&md5=45f25afe85be21276b5174961130f808",Article,"Final",,Scopus,2-s2.0-0039572302
"Fiedler, K., Schott, M., Meiser, T.","7102213565;49862075600;6603944175;","What mediation analysis can (not) do",2011,"Journal of Experimental Social Psychology","47","6",,"1231","1236",,121,"10.1016/j.jesp.2011.05.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051866793&doi=10.1016%2fj.jesp.2011.05.007&partnerID=40&md5=ac9af5e5feec445f510ea80ea90bb112",Article,"Final",,Scopus,2-s2.0-80051866793
"Fryer Jr., R.G., Levitt, S.D.","7004362607;7103342438;","An empirical analysis of the gender gap in mathematics",2010,"American Economic Journal: Applied Economics","2","2",,"210","240",,121,"10.1257/app.2.2.210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953107548&doi=10.1257%2fapp.2.2.210&partnerID=40&md5=cc98c37d3f0321f4bd5baf7de462555e",Article,"Final",,Scopus,2-s2.0-79953107548
"Pager, D., Western, B., Sugie, N.","8897996400;7003553983;56229119700;","Sequencing disadvantage: Barriers to employment facing young black and white men with criminal records",2009,"Annals of the American Academy of Political and Social Science","623","1",,"195","213",,121,"10.1177/0002716208330793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65349135560&doi=10.1177%2f0002716208330793&partnerID=40&md5=20bd68b84566d1f10e55b6908f27b22c",Article,"Final",,Scopus,2-s2.0-65349135560
"Benítez-Silva, H., Buchinsky, M., Chan, H.M., Cheidvasser, S., Rust, J.","7801442051;6601949789;55464811200;6504705801;7004986548;","How large is the bias in self-reported disability?",2004,"Journal of Applied Econometrics","19","6",,"649","670",,121,"10.1002/jae.797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10244240626&doi=10.1002%2fjae.797&partnerID=40&md5=708e80c4ab9e954e8007bf3f59931548",Article,"Final",,Scopus,2-s2.0-10244240626
"Hersch, J., Stratton, L.S.","7003326484;7003545410;","Housework, fixed effects, and wages of married workers",1997,"Journal of Human Resources","32","2",,"285","307",,121,"10.2307/146216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000832834&doi=10.2307%2f146216&partnerID=40&md5=3a08e4defd95c57c21b581fc46eeefc2",Article,"Final",,Scopus,2-s2.0-0000832834
"Bassanini, A., Nunziata, L., Venn, D.","6602551160;6602611153;16053713900;","Job protection legislation and productivity growth in OECD countries",2009,"Economic Policy","24","58",,"351","402",,120,"10.1111/j.1468-0327.2009.00221.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-64349104487&doi=10.1111%2fj.1468-0327.2009.00221.x&partnerID=40&md5=0142991de52cba5fea03883400e4d3da",Article,"Final",,Scopus,2-s2.0-64349104487
"Colella, A.","7005498435;","Coworker distributive fairness judgments of the workplace accommodation of employees with disabilities",2001,"Academy of Management Review","26","1",,"100","116",,120,"10.5465/AMR.2001.4011984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035529260&doi=10.5465%2fAMR.2001.4011984&partnerID=40&md5=1670cde8af896fee92abffd8f78f3314",Article,"Final",,Scopus,2-s2.0-0035529260
"Altonji, J.G., Spletzer, J.R.","","Worker characteristics, job characteristics, and the receipt of on-the-job training",1991,"Industrial and Labor Relations Review","45","1",,"58","79",,119,,,Article,"Final",,Scopus,2-s2.0-84928836684
"Osterman, P.","",[No title available],1984,"Internal Labor Markets",,,,"","",,119,,,Article,"Final",,Scopus,2-s2.0-0003769257
"Black, D.A.","","Discrimination in an equilibrium search model",1995,"Journal of Labor Economics","13","2",,"309","334",,118,,,Article,"Final",,Scopus,2-s2.0-21844499789
"Niederle, M., Vesterlund, L.","6603258903;7801526189;","Explaining the gender gap in math test scores: The role of competition",2010,"Journal of Economic Perspectives","24","2",,"129","144",,116,"10.1257/jep.24.2.129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952711629&doi=10.1257%2fjep.24.2.129&partnerID=40&md5=a5061b41f0266efa030fb7f0d543c95b",Article,"Final",Open Access,Scopus,2-s2.0-77952711629
"Schur, L., Kruse, D., Blasi, J., Blanck, P.","56135566200;7006527955;7004714337;7005084017;","Is disability disabling in all workplaces? Workplace disparities and corporate culture",2009,"Industrial Relations","48","3",,"381","410",,116,"10.1111/j.1468-232X.2009.00565.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65649122630&doi=10.1111%2fj.1468-232X.2009.00565.x&partnerID=40&md5=ff6c82fb783f318a4938d71b2bfc6ee6",Article,"Final",,Scopus,2-s2.0-65649122630
"Jacobs, J.A.","35262248500;","Long-term trends in occupational segregation by sex",1989,"American Journal of Sociology","95","1",,"160","173",,116,"10.1086/229217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024826738&doi=10.1086%2f229217&partnerID=40&md5=dfa21091a8cd5507b6cd54691ec4ef9e",Article,"Final",,Scopus,2-s2.0-0024826738
"Blau, F.D.","","Equal Pay in the Office",1977,"Equal Pay in the Office",,,,"","",,116,,,Article,"Final",,Scopus,2-s2.0-0004181162
"Mulligan, C.B., Rubinstein, Y.","7006017367;24072198200;","Selection, investment, and women's relative wages over time",2008,"Quarterly Journal of Economics","123","3",,"1061","1110",,115,"10.1162/qjec.2008.123.3.1061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-49449112572&doi=10.1162%2fqjec.2008.123.3.1061&partnerID=40&md5=949fef5403f1f8c00653d8badf2b550b",Review,"Final",,Scopus,2-s2.0-49449112572
